customer_id	tot_travel_sales	tot_sales	travel_sales_percentage
2618	5	17	29,411765
2619	19	19	100,000000
2620	14	14	100,000000
2621	8	8	100,000000
2622	0	37	,000000
2623	4	4	100,000000
2625	54	54	100,000000
2626	20	20	100,000000
2627	22	22	100,000000
2628	19	19	100,000000
2629	10	10	100,000000
2630	9	9	100,000000
2631	7	7	100,000000
2632	53	53	100,000000
2633	12	12	100,000000
2634	0	76	,000000
2635	20	20	100,000000
2636	65	65	100,000000
2638	50	50	100,000000
2639	27	27	100,000000
2640	50	50	100,000000
2641	36	46	78,260870
2642	9	9	100,000000
2643	17	17	100,000000
2645	0	15	,000000
2646	0	119	,000000
2647	25	25	100,000000
2648	14	14	100,000000
2649	24	24	100,000000
2651	28	28	100,000000
2652	2	2	100,000000
2654	27	27	100,000000
2655	1	1	100,000000
2656	40	40	100,000000
2657	7	7	100,000000
2658	21	21	100,000000
2660	0	7	,000000
2662	12	12	100,000000
2663	0	181	,000000
2664	0	67	,000000
2665	11	11	100,000000
2666	41	41	100,000000
2667	10	10	100,000000
2668	11	11	100,000000
2670	15	15	100,000000
2672	13	13	100,000000
2673	43	43	100,000000
2674	48	48	100,000000
2675	20	20	100,000000
2676	7	7	100,000000
2677	62	62	100,000000
2678	84	84	100,000000
2679	12	12	100,000000
2680	22	22	100,000000
2681	31	31	100,000000
2682	0	105	,000000
2683	10	10	100,000000
2684	13	13	100,000000
2685	9	9	100,000000
2686	39	39	100,000000
2687	27	27	100,000000
2688	40	40	100,000000
2689	69	69	100,000000
2690	0	95	,000000
2691	7	7	100,000000
2692	0	78	,000000
2693	22	22	100,000000
2694	11	11	100,000000
2695	58	58	100,000000
2697	0	79	,000000
2698	32	32	100,000000
2699	44	44	100,000000
2700	15	15	100,000000
2701	33	53	62,264151
2702	5	5	100,000000
2703	20	20	100,000000
2704	12	12	100,000000
2705	14	14	100,000000
2706	4	4	100,000000
2708	32	32	100,000000
2709	19	19	100,000000
2710	2	2	100,000000
2711	23	23	100,000000
2712	18	18	100,000000
2714	6	6	100,000000
2715	20	20	100,000000
2716	0	27	,000000
2717	3	3	100,000000
2718	0	9	,000000
2720	5	5	100,000000
2721	19	19	100,000000
2722	19	19	100,000000
2723	0	106	,000000
2724	24	24	100,000000
2725	55	55	100,000000
2727	24	24	100,000000
2728	7	7	100,000000
2729	18	18	100,000000
2730	0	26	,000000
2731	14	14	100,000000
2732	0	7	,000000
2733	24	24	100,000000
2734	17	17	100,000000
2735	20	20	100,000000
2736	33	33	100,000000
2737	33	33	100,000000
